startup_name,title,year,funding_estimate,failure_type,source,link,excerpt
China’s Export-Led 5%,"China’s Export-Led 5% Growth Raises Questions StartupTalky · 3h ago Medial China announced a 5% economic growth, driven by a record $1.19 trillion trade surplus despite U.S. tariffs. However, internal",2025,717000000.0,Unknown,StartupTalky,https://medial.app/news/chinas-export-led-5percent-growth-raises-questions-eee573801ed7c,China’s Export-Led 5% Growth Raises Questions | Medial 🚀 Medial Secures Investment on Shark Tank India - Fueling the Future of Professional Social Networking. 🔥 ✕ Login Home News Messages Startup Showcase Trackers Premium Premium Content Jobs Notifications Settings Try our Valuation Calculator → Log
IIFL Fintech,"IIFL Fintech closes Rs 500-crore second fund - The Economic Times Economic Times · 3h ago Medial IIFL Fintech Fund, backed by the IIFL Group, concluded its second fund with Rs 500 crore from domestic ",2025,,Shutdown,Economic Times,https://medial.app/news/iifl-fintech-closes-rs-500-crore-second-fund-the-economic-times-ad0ac1575d9f1,IIFL Fintech closes Rs 500-crore second fund - The Economic Times | Medial 🚀 Medial Secures Investment on Shark Tank India - Fueling the Future of Professional Social Networking. 🔥 ✕ Login Home News Messages Startup Showcase Trackers Premium Premium Content Jobs Notifications Settings Try our Valuat
Digital India Foundation,"Digital India Foundation builds platform for failed startups - The Economic Times Economic Times · 16h ago Medial The Digital India Foundation has launched Phoenix Hub, a platform to support failed st",2025,,Unknown,Economic Times,https://medial.app/news/digital-india-foundation-builds-platform-for-failed-startups-the-economic-times-0bfd02534108f,Digital India Foundation builds platform for failed startups - The Economic Times | Medial 🚀 Medial Secures Investment on Shark Tank India - Fueling the Future of Professional Social Networking. 🔥 ✕ Login Home News Messages Startup Showcase Trackers Premium Premium Content Jobs Notifications Setting
Simplilearn revenue slips,"Simplilearn revenue slips to Rs 556 Cr in FY25, cuts losses Entrackr · 23h ago Medial Simplilearn has struggled to scale up in the last fiscal year, with its operating revenue declining 26% following ",2025,,Operational Crisis,Entrackr,https://medial.app/news/simplilearn-revenue-slips-to-rs-556-cr-in-fy25-cuts-losses-9bb39e533891a,"Simplilearn revenue slips to Rs 556 Cr in FY25, cuts losses | Medial 🚀 Medial Secures Investment on Shark Tank India - Fueling the Future of Professional Social Networking. 🔥 ✕ Login Home News Messages Startup Showcase Trackers Premium Premium Content Jobs Notifications Settings Try our Valuation Ca"
